id,name,level,health_min,health_max,armor_class,damage,gold_min,gold_max,aggressive,file,description
goblin_scout,Goblin Scout,2,25,25,0,0,2,8,True,humanoid,"A small, green-skinned creature wearing tattered leather armor. It carries a crude dagger and looks ready for trouble."
hobgoblin,Hobgoblin,2,20,20,0,0,0,8,True,humanoid,"The hobgoblin is a squat apelike humanoid with dark skin and pointed ears. He stands just over five feet tall, is wearing a leather cuirass, and is armed with {0} {1}."
hyena,Hyena,2,20,20,0,0,0,0,True,beast,The hyena looks ravenous and extremely viscious. It snarls menacingly and bares its teeth at you.
jackal,Jackal,2,20,20,0,0,0,0,True,beast,The jackal looks extremely viscious. It snarls menacingly and bares its teeth at you.
leopard,Leopard,2,20,20,0,0,0,0,True,beast,The leopard has luxurious looking spotted fur. It growls menacingly and bares its teeth at you.
lizard_man,Lizard Man,2,20,20,0,0,0,14,True,beast,"The lizard man is a six foot tall bipedal humanoid who's features resemble those of a large lizard. He has greenish scaley skin, and sharp claws and teeth. The lizard man is armed with {0}."
lizard_woman,Lizard Woman,2,20,20,0,0,0,13,True,beast,"The lizard woman is a five foot tall bipedal humanoid who's features resemble those of a large lizard. She has greyish scaley skin, and sharp claws and teeth. The lizard woman is armed with {0}."
orc_warrior,Orc Warrior,2,20,20,0,0,0,7,False,humanoid,"The orc warrior is a smallish humanoid with piglike facial features and is covered sparsely by coarse body hair. He stands just over five feet in height, is wearing chainmail armor, and is armed with {0} {1}."
ram,Ram,2,15,30,2,1d6,0,5,False,beast,A sturdy ram with curved horns.
red_bear,Red Bear,2,30,30,0,0,0,4,True,beast,The red bear has shaggy reddish fur run through with black streaks and stands just over five feet tall at the shoulder.
satyr,Satyr,2,20,20,0,0,0,7,False,humanoid,"The satyr has the upper torso of man with a lot of body hair, and the lower torso, legs, and hooves of a goat. He is armed with {0} {1}."
wild_boar,Wild Boar,2,20,20,0,0,0,4,False,beast,The wild boar has dark coarse hair and makes a low whining sound. It has two sharp tusks which curve upwards from the sides of its mouth.
wolf,Wolf,2,20,20,0,0,0,4,False,beast,The wolf is very large and has greyish fur and icey blue eyes. It growls at you menacingly and bares its teeth.
carrion_crane,Carrion Crane,3,30,30,0,0,0,0,True,beast,"The carrion crane is nearly eight feet tall, has dull grey plumage and a very wicked looking hooked ebony beak."
female_cyclops,Female Cyclops,3,30,30,0,0,0,10,True,giant,"The cyclops resembles a very large woman with only one eye in the center of her forehead. She stands over eleven feet tall, and is armed with a spiked club."
female_nomad,Female Nomad,3,30,30,0,0,0,12,True,humanoid,The nomad has dark skin and the look of someone hardened by the harsh environment in which she lives. She is wearing dark linen clothing and is armed with a scimitar.
gnoll_warrior,Gnoll Warrior,3,30,30,0,0,0,10,True,humanoid,"The gnoll warrior is a tall humanoid with hyenalike facial features and is covered by thick reddish brown body hair. He stands just under seven feet in height, is wearing chainmail armor, and is armed with {0} {1}."
lizard_shaman,Lizard Shaman,3,20,20,0,0,0,14,True,beast,"The lizard shaman is a five foot tall bipedal humanoid who's features resemble those of a large lizard. She has greyish scaley skin, and sharp claws and teeth. She is wearing robes and is armed with {0} {1}."
lizard_warrior,Lizard Warrior,3,30,30,0,0,0,11,True,humanoid,"The lizard warrior is a six foot tall bipedal humanoid who's features resemble those of a large lizard. He has greenish scaley skin, and sharp claws and teeth. He is armed with {0} {1}."
lizard_warrior,Lizard Warrior,3,30,30,0,0,0,15,True,beast,"The lizard warrior is a six foot tall bipedal humanoid who's features resemble those of a large lizard. He has greenish scaley skin, and sharp claws and teeth. He is armed with {0} {1}."
minotaur,Minotaur,3,30,30,0,0,0,10,True,humanoid,"The minotaur has the upper torso of a muscular man, and the head, legs, and hooves of a bull. He is wearing ringmail armor, and is armed with {0} {1}."
mountain_ape,Mountain Ape,3,30,30,0,0,0,6,True,beast,"The mountain ape is nearly seven feet tall, has thick reddish brown fur and looks very strong."
nomad,Nomad,3,30,30,0,0,0,13,True,humanoid,The nomad has dark skin and the look of someone hardened by the harsh environment in which he lives. He is wearing dark linen clothing and is armed with a scimitar.
ogre,Ogre,3,30,30,0,0,0,10,True,humanoid,The ogre resembles an enormous and very ugly man. He stands over eight feet tall and is very muscular. His clothing is filthy and poorly made. He is armed with {0} {1}.
ogress,Ogress,3,30,30,0,0,0,9,True,humanoid,The ogress resembles an enormous and very ugly woman. She stands over seven feet tall and is very muscular. Her clothing is filthy and poorly made. She is armed with {0} {1}.
orc_shaman,Orc Shaman,3,30,30,0,0,0,9,False,humanoid,"The orc shaman is a smallish humanoid with piglike facial features and is covered sparsely by coarse body hair. She stands just under five feet in height, is wearing robes, and is armed with {0} {1}."
pink_bunny,Pink Bunny,3,20,20,0,0,0,0,True,beast,The pink bunny is small and fluffy with perky ears and big blue eyes.
swordsman,Swordsman,3,30,30,0,0,0,13,True,humanoid,"The swordsman has an air of confidence about him. He is wearing chain armor, and is armed with a {0} which he wields skillfully."
swordswoman,Swordswoman,3,30,30,0,0,0,12,True,humanoid,"The swordswoman has an air of confidance about her. She is wearing chain armor, and is armed with a {0} which she wields skillfully."
cave_lion,Cave Lion,4,40,40,0,0,0,8,True,beast,The cave lion is a huge black animal which stands over six feet tall at the shoulder and has wicked curved claws and razor sharp teeth.
chimera,Chimera,4,40,40,0,0,0,8,True,magical_creature,"The chimera has the body of a lion, leathery wings and two heads which resemble those of a dragon. Thin streams of smoke curl upwards from its nostrils."
cyclops,Cyclops,4,40,40,0,0,0,13,True,giant,"The cyclops resembles a very large man with only one eye in the center of his forehead. He stands over twelve feet tall, and is armed with a spiked club."
female_troll,Female Troll,4,40,40,0,0,0,8,False,humanoid,The troll resembles a large ugly woman with yellowish green skin and wicked claws. Her skin is covered with warts and tufts of stiff greenish hair.
gargoyle,Gargoyle,4,50,50,0,0,0,0,True,magical_creature,"The gargoyle is a heavily muscled, grey skinned humanoid with large leathery wings and wicked claws."
ghoul,Ghoul,4,40,40,0,0,0,8,True,undead,"The ghoul is a lithe, though muscular humanoid with tightly drawn brownish flesh and cloven hooves. Its teeth and nails are yellowish and look very sharp."
gnoll_shaman,Gnoll Shaman,4,40,40,0,0,0,12,False,humanoid,"The gnoll shaman is a tall humanoid with hyenalike facial features and is covered by thick golden brown body hair. She stands just over six feet in height, is wearing robes, and is armed with {0} {1}."
gnoll_subchief,Gnoll Subchief,4,40,40,0,0,0,13,True,humanoid,"The gnoll subchief is a tall humanoid with hyenalike facial features and is covered by thick reddish brown body hair. He stands just over seven feet in height, is wearing scalemail armor, and is armed with {0} {1}."
griffon,Griffon,4,40,40,0,0,0,0,True,magical_creature,"The griffon has the body of a lion, and the front feet, head, and wings of an eagle. It has razor sharp talons and a large black beak."
larochess,Larochess,4,30,30,0,0,0,14,True,humanoid,"The larochess resembles a large well built woman with pale bluish skin pointed ears, and a short tail. She is very muscular and stands nearly nine feet tall. She is wearing leather armor, and is armed with {0}."
larochet,Larochet,4,30,30,0,0,0,15,True,humanoid,"The larochet resembles a large well built man with dark bluish skin, pointed ears, and a short tail. He is very muscular and stands over nine feet tall. He is wearing a cuirass, and is armed with {0}."
lizard_subchief,Lizard Subchief,4,40,40,0,0,1,16,True,beast,"The lizard subchief is a six foot tall bipedal humanoid who's features resemble those of a large lizard. He has greenish scaley skin, and sharp claws and teeth. He is armed with {0} {1}."
magmaman,Magmaman,4,50,50,0,0,0,0,True,humanoid,"The magmaman resembles a humanoid non-descript creature, seemingly formed from molten rock. He has two thick arm-like appendages, ending in dripping claws."
mountain_lion,Mountain Lion,4,40,40,0,0,0,8,True,beast,The mountain lion has dark brown spotted fur. It growls menacingly and bares its teeth at you.
ogre_mage,Ogre Mage,4,50,50,0,0,0,14,True,humanoid,"The ogre mage is wearing a steel breastplate and bracers, and is armed with {0} {1}. He is also wearing a dark red cloak."
ogress_mage,Ogress Mage,4,40,40,0,0,0,13,False,humanoid,"The ogress mage is wearing a steel breastplate and bracers, and is armed with {0} {1}. She is also wearing a dark red cloak."
orc_chieftain,Orc Chieftain,4,40,40,0,0,0,13,False,humanoid,"The orc chieftain is a smallish humanoid with piglike facial features and is covered sparsely by coarse body hair. He stands well over five feet in height, is wearing chainmail armor, and is armed with {0} {1}."
sand_worm,Sand Worm,4,40,40,0,0,0,0,True,beast,"The sand worm is over fifty feet long, is covered in a hard ringed carapace, it's gaping maw is filled with many rows of wickedly gleaming teeth."
skeleton_lord,Skeleton Lord,4,40,40,0,0,0,8,True,undead,"The skeleton lord wears a suit well kept chainmail armor, and is armed with {0} {1}."
tiger,Tiger,4,50,50,0,0,0,8,False,beast,The tiger has luxurious looking striped fur. It growls menacingly and bares its teeth at you.
troll,Troll,4,40,40,0,0,0,8,True,humanoid,The troll resembles a large ugly man with brownish green skin and wicked claws. His skin is covered with warts and tufts of stiff greenish hair.
wraith,Wraith,4,40,40,0,0,0,8,True,undead,"The wraith is a shadowy figure with faded, nondescript features. It is semi-transparent and greyish in color. It glares at you with dull yellowish eyes."
elysian_dragon,Elysian Dragon,5,70,70,0,0,0,10,True,dragon,The elysian dragon has metalic sky blue scales which glisten in the light. Its powerful wings span some eighty feet and it is over fifty feet in length.
gnoll_chieftain,Gnoll Chieftain,5,50,50,0,0,0,16,True,humanoid,"The gnoll chieftain is a tall humanoid with hyenalike facial features and is covered by thick reddish brown body hair. He stands just over seven feet in height, is wearing scalemail armor, and is armed with {0} {1}."
lizard_chieftain,Lizard Chieftain,5,50,50,0,0,2,17,True,beast,"The lizard chieftain is a six foot tall bipedal humanoid who's features resemble those of a large lizard. He has greenish scaley skin, and sharp claws and teeth. He is wearing ringmail armor and is armed with {0} {1}."
minotaur_chieftain,Minotaur Chieftain,5,50,50,0,0,0,16,True,humanoid,"The minotaur chieftain is a very large member of his species. He is very muscular and stands nearly eight feet tall. He is wearing scalemail armor, and is armed with {0} {1}."
stone_giant,Stone Giant,5,60,60,0,0,0,15,True,humanoid,The stone giant resembles a huge hairless man with dark greyish skin and stands nearly twenty feet tall. He is armed with a huge club.
stone_giant,Stone Giant,5,60,60,0,0,0,15,True,giant,The stone giant resembles a huge hairless man with dark grayish skin and stands nearly twenty feet tall. He is armed with {0}.
stone_giantess,Stone Giantess,5,50,50,0,0,0,14,False,humanoid,The stone giantess resembles a huge hairless woman with light greyish skin and stands nearly eighteen feet tall. She is armed with a huge club.
stone_giantess,Stone Giantess,5,50,50,0,0,0,14,True,giant,The stone giantess resembles a huge hairless woman with light grayish skin and stands nearly eighteen feet tall. She is armed with {0}.
warlock,Warlock,5,50,50,0,0,1,16,True,humanoid,The warlock is dressed in red robes and radiates power. He wields a {0}. Tattooed on his right forearm is a crimson sigil.
affreet,Affreet,6,80,80,0,0,3,18,True,demon,The affreet resembles a huge horned man with reddish skin and stands well over twenty feet tall. He is armed with {0} that glows dull red.
crypt_guardian,Crypt Guardian,6,80,80,0,0,15,35,True,undead,"An ancient skeletal guardian clad in rusted plate armor. Dark energy crackles around its form, and it carries a massive two-handed sword that still gleams despite the passage of centuries. Its eye sockets burn with unholy fire as it stands eternal watch over the burial crypt."
female_affreet,Female Affreet,6,70,70,0,0,1,16,True,demon,The affreet resembles a huge horned woman with reddish skin and stands well over eighteen feet tall. She is armed with {0} that glows dull red.
female_bandit,Female Bandit,6,60,60,0,0,0,18,False,humanoid,"The bandit has the look of an accomplished rogue, and is dressed in an expensive silk tunic and pants of a rich red color. She is also wearing a chainmail jerkin and is armed with a wicked looking sabre."
forest_giant,Forest Giant,6,80,80,0,0,0,17,False,humanoid,The forest giant resembles a huge man with dark brown skin and stands nearly eighteen feet tall. His clothing is of woven vines and leaves. He is armed with a huge spear.
forest_giant,Forest Giant,6,80,80,0,0,0,15,True,giant,The forest giant resembles a huge man with dark brown skin and stands nearly eighteen feet tall. His clothing is of woven vines and leaves. He is armed with a huge spear.
forest_giantess,Forest Giantess,6,70,70,0,0,0,16,False,humanoid,The forest giantess resembles a huge woman with brown skin and stands nearly fifteen feet tall. Her clothing is of woven vines and leaves. She is armed with a huge spear.
forest_giantess,Forest Giantess,6,70,70,0,0,0,14,True,giant,The forest giantess resembles a huge woman with brown skin and stands nearly fifteen feet tall. Her clothing is of woven vines and leaves. She is armed with a huge spear.
hydra,Hydra,6,60,60,0,0,0,0,True,magical_creature,The hydra resembles a small wingless dragon with three heads.
ice_giantess,Ice Giantess,6,90,90,0,0,0,18,True,humanoid,"The ice giantess resembles a huge woman with bone white skin, and long flowing white hair. She stands over nineteen feet tall, and is armed with a huge crystaline sword."
ice_giantess,Ice Giantess,6,90,90,0,0,1,16,True,giant,"The ice giantess resembles a huge woman with bone white skin, and long flowing white hair. She stands over nineteen feet tall, and is armed with {0}."
magma_worm,Magma Worm,6,70,70,0,0,0,0,True,beast,"The magma worm is over seventy feet long, is covered in a hard ringed carapace that glows a dull reddish color, and it's gaping maw is filled with many rows of wicked teeth."
orc_warlord,Orc Warlord,6,60,60,0,0,0,22,False,humanoid,"The orc warlord is an average sized humanoid with piglike facial features and is covered sparsely by coarse body hair. He stands just under six feet in height, is wearing gleaming chainmail armor, and is armed with {0} {1}."
stygian_dragon,Stygian Dragon,6,90,90,0,0,0,12,True,dragon,The stygian dragon has dull brown scales and is without wings. It is well over eighty feet in length. Its talons are as large and probably as sharp as a sword.
bandit,Bandit,7,70,70,0,0,0,24,False,humanoid,"The bandit has the look of an accomplished rogue, and is dressed in an expensive silk tunic and pants of a deep blue color. He is also wearing a chainmail jerkin and is armed with a wicked looking sabre."
gnoll_warlord,Gnoll Warlord,7,70,70,0,0,0,26,True,humanoid,"The gnoll warlord is a tall humanoid with hyenalike facial features and is covered by thick reddish brown body hair. He stands well over seven feet in height, is wearing gleaming bandmail armor, and is armed with {0} {1}."
greater_demoness,Greater Demoness,7,100,100,0,0,0,20,True,demon,The greater demoness emanates power and malevolence. She has bright blue skin and stands over eight feet tall. She wields a flaming greatsword and wears an armband engraved with runes.
ice_giant,Ice Giant,7,100,100,0,0,0,22,True,humanoid,"The ice giant resembles a huge man with bone white skin, white hair, and a long white beard. He stands over twenty feet tall, and is armed with a huge crystaline sword."
ice_giant,Ice Giant,7,100,100,0,0,3,18,True,giant,"The ice giant resembles a huge man with bone white skin, white hair, and a long white beard. He stands over twenty feet tall, and is armed with {0]."
lizard_warlord,Lizard Warlord,7,70,70,0,0,9,24,True,beast,"The lizard warlord is a six foot tall bipedal humanoid who's features resemble those of a large lizard. He has greenish scaley skin, and sharp claws and teeth. He is wearing scalemail armor and is armed with {0} {1}."
octopod,Octopod,7,90,90,0,0,0,0,True,beast,"The octopod is a huge dark green bulbous plant standing nearly five feet tall, and has eight rubbery greenish tentacles."
skeleton_giant,Skeleton Giant,7,100,100,0,0,0,14,True,undead,"The skeleton giant stands nearly twenty feet tall, is armed with a bone hammer, and is wearing an enormous suit of tattered chainmail."
greater_demon,Greater Demon,8,120,120,0,0,0,26,True,demon,The greater demon emanates power and malevolence. He has dull blue skin and stands over nine feet tall. He wields a flaming greatsword and wears an armband engraved with runes.
sorceress,Sorceress,8,100,100,0,0,0,26,True,humanoid,The sorceress is dressed in indigo robes and radiates power. She wields a rod tipped with magical frost. Inscribed on her forehead is a blue rune.
sorcerer,Sorceror,9,120,120,0,0,0,33,True,humanoid,The sorcerer is dressed in indigo robes and radiates power. He wields a rod shrouded with magical flame. Inscribed on his forehead is a violet rune.
apollyon_dragon,Apollyon Dragon,10,150,150,0,0,0,20,True,dragon,"The apollyon dragon has crimson scales and powerful leathery wings. It is without a doubt one of the most enormous creatures you have ever seen, being well over one hundred feet in length. Its talons and teeth are jet black, and smoke curls upwards from its nostrils."
dungeon_champion,Forgotten Champion,10,100,150,8,2d8+2,50,100,True,humanoid,"A powerful warrior who once defended these halls, now corrupted by dark magic."
flame_giantess,Flame Giantess,11,180,180,0,0,0,28,True,humanoid,"The flame giantess resembles a huge woman with ruddy skin and bright red hair. She stands over twenty five feet tall, is armed with a great axe made of a dull black metal, and wears dragonscale armor. She reguards you malignly with her smouldering red eyes, and smiles cruely."
flame_giantess,Flame Giantess,11,180,180,0,0,1,16,True,giant,"The flame giantess resembles a huge woman with ruddy skin and bright red hair. She stands over twenty five feet tall, is armed with {0}, and wears dragonscale armor. She regards you malignantly with her smouldering red eyes, and smiles cruelly."
flame_giant,Flame Giant,12,200,200,0,0,0,34,True,humanoid,"The flame giant resembles a huge man with ruddy skin, bright red hair, and a coarse red beard. He stands nearly thirty feet tall, is armed with a great axe made of a dull black metal, and wears dragonscale armor. He regards you malevolently with his smouldering red eyes, and grins wickedly."
flame_giant,Flame Giant,12,200,200,0,0,5,20,True,giant,"The flame giant resembles a huge man with ruddy skin, bright red hair, and a coarse red beard. He stands nearly thirty feet tall, is armed with a great axe made of a dull black metal, and wears dragonscale armor. He regards you malevolently with his smouldering red eyes, and grins wickedly."
balneal_dragon,Balneal Dragon,15,300,300,0,0,0,30,True,dragon,"The balneal dragon has silvery blue scales and a powerfully built serpentine body. It is over one hundred fifty feet in length. Its talons and teeth are of a clear bluish crystaline substance, and steam rises from its nostrils."
flame_giant_warlord,Flame Giant Warlord,15,250,250,0,0,0,45,True,humanoid,"The flame giant resembles a huge man with ruddy skin, bright red hair, and a coarse red beard. He stands nearly thirty feet tall, is armed with a great spear made of a dark black metal that glows with a dull reddish light at the head. He wears armor of fine workmanship made from overlapping scales of a dark metallic blue. You sense great wisdom in his stern gaze."
flame_giant_warlord,Flame Giant Warlord,15,250,250,0,0,10,25,True,giant,"The flame giant resembles a huge man with ruddy skin, bright red hair, and a coarse red beard. He stands nearly thirty feet tall, is armed with {0} made of a dark black metal that glows with a dull reddish light at the head. He wears armor of fine workmanship made from overlapping scales of a dark metallic blue. You sense great wisdom in his stern gaze."
arch_demoness,Arch Demoness,17,350,350,0,0,0,44,True,demon,The arch demoness emanates awesome power and malevolence. She has bright red skin and stands over twelve feet tall. She wields a glowing bardiche and wears an armband engraved with runes.
arch_demon,Arch Demon,18,400,400,0,0,0,51,True,demon,The arch demon emanates awesome power and malevolence. He has dull blue skin and stands over fifteen feet tall. He wields a glowing bardiche and wears an armband engraved with runes.
demon_king,Demon King,20,600,600,0,0,0,65,True,demon,The demon king emanates incredible power and horrific malevolence. He has dull black skin and stands over thirty feet tall. He wields a huge glowing sabre nearly fifteen feet long and wears a dull grey crown engraved with runes.
dwarven_warhound,Dwarven Warhound,20,200,200,0,0,0,0,True,beast,"The dwarven warhound is a huge beast, nearly four feet at the shoulder. It resembles  a wolf with glossy black fur. Its eyes and teeth are crimson. Its hackles raise and it snarls menacingly as you look its way."
smith,Smith,20,400,400,0,0,5,20,True,humanoid,"This dwarven smith is heavily muscled, his leather apron smeared with sweat and soot. He is very alert and has an expression of great calm and peace of mind. His eyes harden as he notices your intense stare, and he hefts the weight of his great hammer."
dwarven_guard,Dwarven Guard,25,500,500,0,0,0,55,True,experimental,The guard is of obvious dwarven blood. He looks very tough and battle hardened. He wears scale mail armor of a design you're unfamiliar with and wields a battleax.
